timestamp,tool,scenario,iteration,phase,duration_ms,exit_code
2025-12-24T14:20:42.8176713Z,pytest_sqlalchemy,S1,1,measured,3405,0
2025-12-24T14:20:46.2082701Z,pytest_sqlalchemy,S1,2,measured,3385,0
2025-12-24T14:20:49.5714940Z,pytest_sqlalchemy,S1,3,measured,3361,0
2025-12-24T14:20:52.8917300Z,pytest_sqlalchemy,S1,4,measured,3319,0
2025-12-24T14:20:56.2625118Z,pytest_sqlalchemy,S1,5,measured,3369,0
2025-12-24T14:20:59.6143882Z,pytest_sqlalchemy,S1,6,measured,3351,0
2025-12-24T14:21:02.9644280Z,pytest_sqlalchemy,S1,7,measured,3348,0
2025-12-24T14:21:06.3317959Z,pytest_sqlalchemy,S1,8,measured,3367,0
2025-12-24T14:21:09.6827150Z,pytest_sqlalchemy,S1,9,measured,3350,0
2025-12-24T14:21:13.0152484Z,pytest_sqlalchemy,S1,10,measured,3332,0
2025-12-24T14:21:16.3956089Z,pytest_sqlalchemy,S1,11,measured,3379,0
2025-12-24T14:21:19.8585779Z,pytest_sqlalchemy,S1,12,measured,3461,0
2025-12-24T14:21:23.2322627Z,pytest_sqlalchemy,S1,13,measured,3373,0
2025-12-24T14:21:26.6228134Z,pytest_sqlalchemy,S1,14,measured,3390,0
2025-12-24T14:21:29.9777228Z,pytest_sqlalchemy,S1,15,measured,3349,0
2025-12-24T14:21:33.3182659Z,pytest_sqlalchemy,S1,16,measured,3339,0
2025-12-24T14:21:36.6333407Z,pytest_sqlalchemy,S1,17,measured,3314,0
2025-12-24T14:21:39.9551961Z,pytest_sqlalchemy,S1,18,measured,3321,0
2025-12-24T14:21:43.3520638Z,pytest_sqlalchemy,S1,19,measured,3395,0
2025-12-24T14:21:46.7397494Z,pytest_sqlalchemy,S1,20,measured,3387,0
2025-12-24T14:22:12.4427921Z,pytest_testcontainers,S1,1,measured,24787,0
2025-12-24T14:22:37.4014052Z,pytest_testcontainers,S1,2,measured,24949,0
2025-12-24T14:23:02.0871107Z,pytest_testcontainers,S1,3,measured,24685,0
2025-12-24T14:23:26.7969890Z,pytest_testcontainers,S1,4,measured,24707,0
2025-12-24T14:23:51.5143412Z,pytest_testcontainers,S1,5,measured,24716,0
2025-12-24T14:24:16.3905382Z,pytest_testcontainers,S1,6,measured,24874,0
2025-12-24T14:24:41.2889017Z,pytest_testcontainers,S1,7,measured,24897,0
2025-12-24T14:25:06.1454863Z,pytest_testcontainers,S1,8,measured,24855,0
2025-12-24T14:25:31.6131786Z,pytest_testcontainers,S1,9,measured,25466,0
2025-12-24T14:25:56.8494664Z,pytest_testcontainers,S1,10,measured,25236,0
2025-12-24T14:26:21.7056595Z,pytest_testcontainers,S1,11,measured,24854,0
2025-12-24T14:26:46.6742083Z,pytest_testcontainers,S1,12,measured,24968,0
2025-12-24T14:27:11.7121686Z,pytest_testcontainers,S1,13,measured,25036,0
2025-12-24T14:27:36.7318523Z,pytest_testcontainers,S1,14,measured,25018,0
2025-12-24T14:28:02.6216033Z,pytest_testcontainers,S1,15,measured,25889,0
2025-12-24T14:28:28.8551250Z,pytest_testcontainers,S1,16,measured,26223,0
2025-12-24T14:29:08.1732551Z,pytest_testcontainers,S1,17,measured,39317,0
2025-12-24T14:29:44.9906413Z,pytest_testcontainers,S1,18,measured,36816,0
2025-12-24T14:30:28.4503334Z,pytest_testcontainers,S1,19,measured,43459,0
2025-12-24T14:31:11.4802802Z,pytest_testcontainers,S1,20,measured,43028,0
2025-12-24T14:32:30.2128705Z,dbt,S1,1,measured,69063,0
2025-12-24T14:33:37.9474522Z,dbt,S1,2,measured,67721,0
2025-12-24T14:34:46.7605605Z,dbt,S1,3,measured,68811,0
2025-12-24T14:35:54.7953417Z,dbt,S1,4,measured,68034,0
2025-12-24T14:37:07.8721824Z,dbt,S1,5,measured,73074,0
2025-12-24T14:38:13.0720066Z,dbt,S1,6,measured,65198,0
2025-12-24T14:39:17.4231134Z,dbt,S1,7,measured,64349,0
2025-12-24T14:40:18.5274331Z,dbt,S1,8,measured,61102,0
